β,p_DA,p_15,p_ID,q_FC,q_DA,q_15_neg,q_15_pos,R_exp,R_STD,CVaR
3.4,28.21,27.846429520000004,27.183170105,19.4125,16.500625,-3.153176913736953,8.36167115077596,545.772371942129,133.47000989648288,251.41443625230764
3.4,28.15,27.7872028,27.125354075,23.94375,20.3521875,-3.37787803924814,9.585384931428498,668.6283095676745,144.59875396406153,344.96113075915224
3.4,28.08,27.718104959999998,27.05790204,24.225,20.591250000000002,-3.4759426797869373,10.070290657845597,677.3950439007325,149.73378194592328,349.93860332018016
3.4,28.14,27.777331679999996,27.115718070000003,24.587500000000002,20.899375000000003,-3.3178288193195575,9.811972175561566,685.3170391570277,152.57493370039006,367.33584143617384
3.4,28.12,27.757589439999997,27.096446060000005,25.05,21.2925,-3.5730487274189513,10.315804607985834,698.8722091019135,158.25999576041056,379.3453109451288
3.4,28.23,27.866171760000004,27.202442115000004,25.5,21.675,-3.568203576826795,10.438303298116502,714.5106564365482,162.5957338952824,388.5435744122602
3.4,36.66,36.18752592,35.32559433,26.0625,22.153125,-4.213958437817934,11.318872858608298,954.0055434356505,228.3746527971824,481.0332697530675
3.4,47.91,47.29253591999999,46.16609995499999,26.887500000000003,22.854375000000005,-4.065827072914491,11.665813510314294,1290.7875982678622,312.45487377307666,657.6966922811921
3.4,49.64,49.00023968,47.83312882,27.8125,23.640625,-4.445286341937215,12.123853740002994,1374.2717371703047,343.92988580743906,638.1655249937858
3.4,44.98,44.40029776,43.34275049,28.39375,24.134687500000002,-5.0123335039262304,12.739768320528707,1256.805725408941,318.2635151284318,572.0446332730672
3.4,40.02,39.504222240000004,38.563292010000005,28.55,24.267500000000002,-5.039886595049611,12.676454573429647,1117.7858501888973,281.93209648103635,542.0241720415286
3.4,37.64,37.154895679999996,36.26992282,28.675,24.37375,-5.187057859234472,12.82343000086273,1052.8218230262767,270.9476324606391,521.8205157314756
3.4,31.39,30.985445680000005,30.247419694999998,29.106250000000003,24.7403125,-4.700965449034333,12.872192964825203,896.3761646353282,223.34445709132788,450.1631073993653
3.4,31.06,30.65969872,29.92943153,29.900000000000002,25.415000000000003,-5.145703342946464,13.080463154527228,905.5988354352913,229.73925556254002,445.5527975857067
3.4,30.12,29.731813439999996,29.023647060000002,30.5375,25.956875,-5.763924281689688,13.870465861763972,899.5413271837846,239.91981312261183,425.56550934085647
3.4,32.06,31.64681072,30.89303203,30.8625,26.233125,-5.847467975067921,13.971045281766699,962.9392114411716,246.73388812799925,457.6174405584552
3.4,31.63,31.22235255999999,30.478683815,31.212500000000002,26.530625,-5.894433756698463,14.486476192981664,964.8810311641315,252.6886026777174,450.4051608872649
3.4,38.13,37.63858056,36.742087065,31.69375,31.013498689592875,-4.750179370759703,3.2870622479071265,1164.05517378757,135.164491583492,712.0054626897157
3.4,42.76,42.20890912,41.20355738,32.40625,27.5453125,-16.299926827485383,7.260620312499995,1235.0717281426228,412.5288091098157,52.472222427456586
3.4,39.96,39.44499552,38.50547598,33.31875,28.3209375,-2.1218496580093746,7.599340500000004,1268.3967864037622,176.15981487991348,769.742565420006
3.4,30.58,30.18588496,29.466903289999994,34.03125,28.9265625,-1.7559066930503588,8.803203749999998,1005.6586112986481,124.3913952562927,670.5328708793941
3.4,28.7,28.330114400000003,27.655334349999997,34.06875,29.424008203969606,-1.8717886742479344,7.3566142960303935,946.2786194033382,109.96022242852125,625.9496974620075
3.4,28.2,27.836558399999994,27.1735341,33.050000000000004,28.23909415650208,-0.5647725775305084,8.011137343497925,908.4064066529468,99.25226844338471,638.6706440394414
3.4,27.42,27.066611040000005,26.421925710000004,30.7375,26.126875000000002,-6.103076609518475,14.787295401435047,836.7843048717295,229.8432952808005,365.8387582418916
